UID,REFCAT,Vulnerabilidad,SA,GradoDanio,PGA,Suelo,pNull,pLow,pMod,pExt,pCom,pMean,ojo,year,floor,facadeL,Escombro
1211,4405041XG1740E,RC31-PRE,0.365,Sligth,0.217,C,0.598,0.259,0.122,0.018,0.003,Sligth,Reinforced Concrete,1984,2,10.86,0.00384
1212,4405042XG1740E,RC31-PRE,0.365,Sligth,0.217,C,0.598,0.259,0.122,0.018,0.003,Sligth,Reinforced Concrete,1984,3,13.06,0.0043
1213,4405043XG1740E,RC31-PRE,0.365,Sligth,0.217,C,0.598,0.259,0.122,0.018,0.003,Sligth,Reinforced Concrete,1983,2,56.54,0.00395
1214,4405201XG1740E,RC31-PRE,0.269,None,0.188,C,0.764,0.177,0.054,0.005,0.001,None,Reinforced Concrete,1983,3,36.01,0
1215,4405401XG1740E,RC31-PRE,0.213,None,0.169,B,0.859,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1963,3,28.03,0
1216,4405402XG1740E,M31-PRE,0.361,None,0.169,B,0.613,0.356,0.027,0.004,0.0,None,Masonry,1930,3,23.93,0
1217,4405404XG1740E,M31-PRE,0.361,None,0.169,B,0.614,0.355,0.027,0.004,0.0,None,Masonry,1930,2,39.77,0
1218,4405405XG1740E,M11-PRE,0.346,Moderate,0.169,B,0.02,0.185,0.378,0.263,0.155,Moderate,Masonry,1918,2,14.87,0.02075
1219,4405406XG1740E,M31-PRE,0.218,Sligth,0.169,B,0.239,0.568,0.142,0.045,0.006,Sligth,Masonry,1940,3,8.9,0.01137
1220,4405407XG1740E,M11-PRE,0.345,Moderate,0.169,B,0.02,0.185,0.378,0.263,0.154,Moderate,Masonry,1981,3,10.85,0.0207
1221,4405408XG1740E,M31-PRE,0.361,None,0.169,B,0.615,0.355,0.027,0.004,0.0,None,Masonry,1981,3,17.93,0
1222,4405701XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1978,3,25.96,0
1223,4405702XG1740E,M34-PRE,0.347,None,0.168,B,0.778,0.213,0.008,0.001,0.0,None,Masonry,1945,3,31.4,0
1224,4405704XG1740E,M34-PRE,0.347,None,0.169,B,0.778,0.214,0.008,0.001,0.0,None,Masonry,1930,1,13.32,0
1225,4405705XG1740E,M11-PRE,0.345,Moderate,0.169,B,0.02,0.186,0.378,0.262,0.154,Moderate,Masonry,1920,1,12.29,0.01705
1226,4405706XG1740E,M31-PRE,0.36,None,0.168,B,0.616,0.354,0.026,0.004,0.0,None,Masonry,1940,3,7.59,0
1227,4405707XG1740E,M31-PRE,0.36,None,0.168,B,0.617,0.353,0.026,0.004,0.0,None,Masonry,1935,3,24.6,0
1228,4405902XG1740E,RC31-PRE,0.122,None,0.168,B,0.756,0.181,0.056,0.006,0.001,None,Reinforced Concrete,1943,4,51.43,0
1229,4405903XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1978,3,14.37,0
1230,4405904XG1740E,RC31-LOW,0.122,None,0.168,B,0.756,0.181,0.056,0.006,0.001,None,Reinforced Concrete,2005,4,21.89,0
1231,4405905XG1740E,M11-PRE,0.345,Moderate,0.168,B,0.02,0.186,0.379,0.262,0.153,Moderate,Masonry,1999,3,14.81,0.02207
1232,4405906XG1740E,RC31-PRE,0.213,None,0.169,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1990,3,18.46,0
1233,4405907XG1740E,M31-PRE,0.36,None,0.168,B,0.616,0.354,0.026,0.004,0.0,None,Masonry,1920,2,12.45,0
1234,4405908XG1740E,M34-PRE,0.347,None,0.168,B,0.778,0.214,0.008,0.001,0.0,None,Masonry,1966,3,14.18,0
1235,4405909XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.114,0.024,0.002,0.0,None,Reinforced Concrete,1970,3,14.68,0
1236,4405910XG1740E,M34-PRE,0.347,None,0.168,B,0.779,0.212,0.008,0.001,0.0,None,Masonry,1960,2,29.27,0
1237,4405911XG1740E,RC31-PRE,0.212,None,0.168,B,0.86,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1963,3,15.43,0
1238,4405912XG1740E,RC31-LOW,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,0,1,14.41,0
1239,4405913XG1740E,M31-PRE,0.359,None,0.168,B,0.619,0.351,0.026,0.004,0.0,None,Masonry,1900,2,12.48,0
1240,4405914XG1740E,M11-PRE,0.344,Moderate,0.168,B,0.02,0.187,0.379,0.261,0.152,Moderate,Masonry,1900,2,34.2,0.02095
1241,4405916XG1740E,RC31-PRE,0.212,None,0.168,B,0.861,0.113,0.024,0.002,0.0,None,Reinforced Concrete,1962,2,37.76,0
1242,4406001XG1740E,M34-PRE,0.415,None,0.188,C,0.604,0.366,0.026,0.004,0.0,None,Masonry,1959,3,68.84,0
1243,4406002XG1740E,M34-PRE,0.415,None,0.188,C,0.604,0.366,0.026,0.004,0.0,None,Masonry,1949,2,15.88,0
1244,4406003XG1740E,RC31-PRE,0.268,None,0.188,C,0.764,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1950,3,10.69,0
1245,4406004XG1740E,M34-PRE,0.264,Sligth,0.188,C,0.204,0.581,0.152,0.055,0.008,Sligth,Masonry,1970,4,25.21,0.01044
1246,4406005XG1740E,RC31-PRE,0.158,None,0.188,C,0.647,0.238,0.1,0.013,0.002,None,Reinforced Concrete,1993,4,14.85,0
1247,4406007XG1740E,M11-PRE,0.412,Extensive,0.188,C,0.004,0.079,0.281,0.313,0.322,Extensive,Masonry,1920,2,27.1,0.08177
1248,4406008XG1740E,M31-PRE,0.428,Sligth,0.188,C,0.402,0.506,0.074,0.017,0.001,Sligth,Masonry,1920,1,19.27,0.01076
1249,4406009XG1740E,RC31-PRE,0.268,None,0.188,C,0.765,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1963,2,20.52,0
1250,4406101XG1740E,RC31-PRE,0.268,None,0.188,C,0.764,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1961,2,22.91,0
1251,4406102XG1740E,M34-PRE,0.415,None,0.188,C,0.604,0.366,0.026,0.004,0.0,None,Masonry,1950,1,31.82,0
1252,4406103XG1740E,RC31-PRE,0.268,None,0.188,C,0.764,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1958,2,15.95,0
1253,4406104XG1740E,RC31-PRE,0.268,None,0.188,C,0.765,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1979,2,15.16,0
1254,4406105XG1740E,M34-PRE,0.415,None,0.188,C,0.605,0.365,0.025,0.004,0.0,None,Masonry,1979,3,18.3,0
1255,4406106XG1740E,M34-PRE,0.263,Sligth,0.188,C,0.205,0.581,0.151,0.055,0.007,Sligth,Masonry,1950,3,28.77,0.0108
1256,4406107XG1740E,RC31-PRE,0.268,None,0.188,C,0.765,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1965,3,6.41,0
1257,4406108XG1740E,M34-PRE,0.415,None,0.188,C,0.605,0.365,0.025,0.004,0.0,None,Masonry,1965,1,13.25,0
1258,4406109XG1740E,M34-PRE,0.415,None,0.188,C,0.605,0.366,0.025,0.004,0.0,None,Masonry,1965,1,18.72,0
1259,4406201XG1740E,RC31-PRE,0.269,None,0.188,C,0.764,0.177,0.054,0.005,0.001,None,Reinforced Concrete,1968,1,19.98,0
1260,4406202XG1740E,RC31-PRE,0.269,None,0.188,C,0.764,0.177,0.054,0.005,0.001,None,Reinforced Concrete,1960,2,20.98,0
1261,4406203XG1740E,M34-PRE,0.416,None,0.188,C,0.602,0.368,0.026,0.004,0.0,None,Masonry,1978,2,22.67,0
1262,4406206XG1740E,RC31-PRE,0.268,None,0.188,C,0.764,0.176,0.053,0.005,0.001,None,Reinforced Concrete,1984,2,17.04,0
1263,4406301XG1740E,RC31-PRE,0.268,None,0.188,C,0.764,0.177,0.053,0.005,0.001,None,Reinforced Concrete,1970,2,35.13,0
1264,4406302XG1740E,M11-PRE,0.413,Extensive,0.188,C,0.004,0.078,0.279,0.314,0.324,Extensive,Masonry,1900,1,12.29,0.05668
1265,4406303XG1740E,M11-PRE,0.413,Extensive,0.188,C,0.004,0.078,0.28,0.314,0.324,Extensive,Masonry,1920,1,18.56,0.05482
1266,4406601XG1740E,M31-PRE,0.43,Sligth,0.189,C,0.397,0.509,0.076,0.017,0.001,Sligth,Masonry,1940,3,36.51,0.01069
